,N,Mean,Standard Deviation,Min,25th Percentile,Median,75th Percentile,Max
MaternalAge,204.0,34.3,4.22,17.41,31.86,34.01,37.0,48.67
BirthWeight,204.0,3498.02,469.57,1850.0,3238.75,3520.0,3816.25,4640.0
BirthHeight,204.0,52.09,2.52,44.0,50.7,52.0,54.0,59.0
HeadCircum,204.0,35.13,1.6,23.5,34.08,35.0,36.0,43.0
GAD7_3W,204.0,4.83,3.86,0.0,2.0,4.0,6.0,21.0
GAD7_7M,204.0,4.4,3.56,0.0,2.0,3.08,6.72,20.0
DTN_7M,204.0,24.68,6.42,12.0,20.0,24.0,28.2,44.0
GAD7_12M,204.0,4.88,3.47,0.0,3.0,4.0,6.0,21.0
ADS_12M,204.0,9.07,6.72,0.0,5.0,7.0,12.0,41.0
DTN_12M,204.0,33.26,8.7,16.0,27.81,32.54,37.0,65.33
EPDS_3W,204.0,18.22,2.62,9.0,17.0,19.0,20.0,26.0
EPDS_7W,204.0,5.64,4.29,0.0,3.0,5.0,8.0,25.0
GAD7_AUC,204.0,226.63,156.38,11.0,113.83,185.0,305.82,1004.5
DTN_AUC,204.0,637.36,150.43,319.0,527.58,619.3,723.32,1134.43
